Rank,Term,Adjusted_P,Library,Overlapping_genes,Combined_Score,P_Value,Library_clean,Term_clean,MinusLog10AdjP,Candidate_Name,Overlap_Count,Anchor_Hit_Count,Core8_Hit_Count,Anchor_Hits,Core8_Hits,Candidate_Class
5,LJP006 MCF7 24H-XMD-1150-10,0.00825353923948437,LINCS_L1000_Chem_Pert_down,IFITM1;CEACAM1;RSAD2;OAS1;IFI44;IFI44L;IFIT3;LMNB1,128.481540603312,3.02615650050758e-6,LINCS L1000 chemical perturbations (down),LJP006 MCF7 24H-XMD-1150-10,2.0833597796232315,Ljp006 Mcf7 24h-Xmd-1150-10,8,0,1,,IFIT3,Unmapped_or_genetic_signature
58,pyrazinamide 1046 mouse GSE48027 sample 3325,0.0103761382721014,Drug_Perturbations_from_GEO_down,GBP6;APOL6;SERPING1;GBP2;KCNJ2;IFIT2;TLR2,35.2586746820769,8.1768480948625e-4,GEO drug perturbations (down),pyrazinamide 1046 mouse GSE48027 sample 3325,1.983964249490426,Pyrazinamide,7,0,1,,IFIT2,Candidate_drug_or_compound
6,LJP008 HCC515 24H-dasatinib-0.04,0.010737941551022,LINCS_L1000_Chem_Pert_down,STAT1;IFI6;IFI44;F2RL1;GBP1;IFI44L,194.533662623587,4.72447380700536e-6,LINCS L1000 chemical perturbations (down),LJP008 HCC515 24H-dasatinib-0.04,1.9690789643267486,Ljp008 Hcc515 24h-Dasatinib-0.04,6,2,3,STAT1;GBP1,STAT1;IFI6;GBP1,Unmapped_or_genetic_signature
7,CPC010 VCAP 24H-medroxyprogesterone-10.0,0.0117067542068027,LINCS_L1000_Chem_Pert_down,DUSP3;GK;ADM;MYL9;IFI44L,273.88554362461,6.00918673077797e-6,LINCS L1000 chemical perturbations (down),CPC010 VCAP 24H-medroxyprogesterone-10.0,1.9315634999295714,Cpc010 Vcap 24h-Medroxyprogesterone-10.0,5,0,0,,,Candidate_drug_or_compound
8,LJP005 HS578T 24H-SB590885-0.37,0.0125844690405291,LINCS_L1000_Chem_Pert_down,ACTA2;IFITM1;STAT1;IFI6;SERPING1;HPSE;GBP2,129.895804802295,7.38254398505776e-6,LINCS L1000 chemical perturbations (down),LJP005 HS578T 24H-SB590885-0.37,1.9001651033283957,Ljp005 Hs578t 24h-Sb590885-0.37,7,1,2,STAT1,STAT1;IFI6,Unmapped_or_genetic_signature
9,LJP009 HA1E 24H-JWE-035-0.37,0.0137167587593279,LINCS_L1000_Chem_Pert_down,STAT1;IFI6;IFI44;DDX60;MYL9,240.299918711131,9.12463569191581e-6,LINCS L1000 chemical perturbations (down),LJP009 HA1E 24H-JWE-035-0.37,1.8627484993608998,Ljp009 Ha1e 24h-Jwe-035-0.37,5,1,2,STAT1,STAT1;IFI6,Unmapped_or_genetic_signature
11,LJP009 MCF7 24H-ZM-447439-3.33,0.0137167587593279,LINCS_L1000_Chem_Pert_down,IFITM1;IFI6;LAP3;MYL9;GBP1;IFI44L,150.664673827987,1.20127147233379e-5,LINCS L1000 chemical perturbations (down),LJP009 MCF7 24H-ZM-447439-3.33,1.8627484993608998,Ljp009 Mcf7 24h-Zm-447439-3.33,6,1,2,GBP1,IFI6;GBP1,Unmapped_or_genetic_signature
13,LJP006 BT20 24H-HG-6-64-01-3.33,0.0137167587593279,LINCS_L1000_Chem_Pert_down,DUSP3;GCH1;ANXA3;F2RL1;IGF2BP3;MYL9,147.155729702034,1.30760331356796e-5,LINCS L1000 chemical perturbations (down),LJP006 BT20 24H-HG-6-64-01-3.33,1.8627484993608998,Ljp006 Bt20 24h-Hg-6-64-01-3.33,6,0,0,,,Unmapped_or_genetic_signature
12,LJP005 HS578T 24H-crizotinib-10,0.0137167587593279,LINCS_L1000_Chem_Pert_down,ACTA2;MTHFD2;ANXA3;STAT1;ADM;LAP3;GBP1,113.644228895867,1.25925910168715e-5,LINCS L1000 chemical perturbations (down),LJP005 HS578T 24H-crizotinib-10,1.8627484993608998,Ljp005 Hs578t 24h-Crizotinib-10,7,2,2,STAT1;GBP1,STAT1;GBP1,Unmapped_or_genetic_signature
10,LJP005 HEPG2 24H-radicicol-10,0.0137167587593279,LINCS_L1000_Chem_Pert_down,IFITM3;ACTA2;IFITM1;OAS1;IFI44;DDX60;IFI44L;TRIM22,95.1149549988932,1.13275176706556e-5,LINCS L1000 chemical perturbations (down),LJP005 HEPG2 24H-radicicol-10,1.8627484993608998,Ljp005 Hepg2 24h-Radicicol-10,8,0,0,,,Unmapped_or_genetic_signature
14,LJP006 A375 24H-BI-2536-0.04,0.0138455892444367,LINCS_L1000_Chem_Pert_down,IFITM3;IFITM1;SERPING1;GBP2;GBP1;LMNB1,143.77405698156701,1.42141416310122e-5,LINCS L1000 chemical perturbations (down),LJP006 A375 24H-BI-2536-0.04,1.8586885566997846,Ljp006 A375 24h-Bi-2536-0.04,6,1,1,GBP1,GBP1,Unmapped_or_genetic_signature
59,metformin DB00331 human GSE33612 sample 2483,0.0144090614932568,Drug_Perturbations_from_GEO_down,ABCA1;SOCS3;GCH1;ANXA3;KCNJ15;SERPING1;F2RL1;ADM;KCNJ2,25.2258062699829,0.00115507422296488,GEO drug perturbations (down),metformin DB00331 human GSE33612 sample 2483,1.8413643052077495,Metformin,9,0,0,,,Candidate_drug_or_compound
60,quercetin DB04216 mouse GSE4262 sample 3431,0.0156637628167689,Drug_Perturbations_from_GEO_down,SOCS3;IFITM1;GCH1;MTHFD2;GBP2;PARP14;ATF3;GADD45G;IFIT2,24.4789057783645,0.00127693718614964,GEO drug perturbations (down),quercetin DB04216 mouse GSE4262 sample 3431,1.8051039016484667,Quercetin,9,0,1,,IFIT2,Candidate_drug_or_compound
61,fenretinide DB05076 human GSE17480 sample 2529,0.0160291217666561,Drug_Perturbations_from_GEO_down,PRRG4;IFITM1;GK;IFI6;AP5B1;GBP2;PIK3AP1;SIPA1L2;GBP4,24.1882788295515,0.00132850058120383,GEO drug perturbations (down),fenretinide DB05076 human GSE17480 sample 2529,1.7950902719280535,Fenretinide,9,0,1,,IFI6,Candidate_drug_or_compound
62,Calcitonin 16132288 mouse GSE60761 sample 3447,0.0161550789180416,Drug_Perturbations_from_GEO_down,GBP6;TLR1;C1QB;ANXA3;STAT1;SERPING1;HPSE;GBP2;MYL9;C1QC,22.185532075665,0.00136088980016112,GEO drug perturbations (down),Calcitonin 16132288 mouse GSE60761 sample 3447,1.7916909160996781,Calcitonin,10,1,1,STAT1,STAT1,Candidate_drug_or_compound
63,estradiol 5757 human GSE24592 sample 3344,0.0184794052835182,Drug_Perturbations_from_GEO_down,HCAR3;ANXA3;LIMK2;FFAR2;ADM;GBP1;ATF3;CREB5,25.2118317908179,0.00158179691964898,GEO drug perturbations (down),estradiol 5757 human GSE24592 sample 3344,1.7333120096441805,Estradiol,8,1,1,GBP1,GBP1,Candidate_drug_or_compound
64,methylphenidate DB00422 human GSE52889 sample 3307,0.0207973886916515,Drug_Perturbations_from_GEO_down,TLR1;RTP4;RSAD2;SCO2;EPSTI1;GBP2;XAF1;IFIT3,24.0225770298985,0.00183672590347466,GEO drug perturbations (down),methylphenidate DB00422 human GSE52889 sample 3307,1.6819911913834087,Methylphenidate,8,0,1,,IFIT3,Candidate_drug_or_compound
65,dexamethasone DB01234 human GSE34313 sample 2714,0.0207973886916515,Drug_Perturbations_from_GEO_down,CD274;SOCS3;TNFAIP6;PSTPIP2;IRF1;KCNJ15;ATF3;KCNJ2,24.0225770298985,0.00183672590347466,GEO drug perturbations (down),dexamethasone DB01234 human GSE34313 sample 2714,1.6819911913834087,Dexamethasone,8,0,0,,,Candidate_drug_or_compound
66,formaldehyde 712 rat GSE7002 sample 3550,0.0209163496120545,Drug_Perturbations_from_GEO_down,C1QB;DHRS9;KCNJ15;IFI35;FCGR1A;IFI44L;SIGLEC5;C1QC,23.8588283046423,0.00187565091629836,GEO drug perturbations (down),formaldehyde 712 rat GSE7002 sample 3550,1.6795141076476445,Formaldehyde 712 Rat,8,0,1,,IFI35,Candidate_drug_or_compound
